UniProtID	asa	psipred	pfam	gnomad	polyphen	sift	provean	provean_sift
Q6PI48	1	1	1	1	1	1	1	0
P62873	1	1	1	1	1	1	1	0
P82279	1	1	1	1	1	0	0	0
Q15058	0	0	1	1	1	1	1	0
Q13698	1	1	1	1	1	1	1	0
Q02246	1	0	1	1	1	1	1	0
O14896	0	1	1	1	1	1	1	0
O95259	1	1	1	1	1	1	1	0
P61812	1	0	1	1	1	0	0	0
P98160	1	1	1	1	1	1	1	0
P60953	1	1	1	1	1	0	0	0
Q96F81	0	1	1	1	1	1	1	0
Q14739	0	1	1	1	1	0	0	0
O00292	0	1	1	1	1	1	1	0
P49810	0	1	1	1	1	1	1	0
Q8NI60	1	1	1	1	1	0	0	0
Q5T442	0	1	1	1	1	1	1	0
P68133	0	1	1	1	1	0	1	0
P12755	1	1	1	1	1	1	1	0
Q8NCR0	0	1	1	1	1	0	0	0
Q99698	0	1	1	1	1	0	0	0
P14543	0	0	1	1	1	1	1	0
P35609	1	1	1	1	1	1	1	0
P07954	1	1	1	1	1	1	1	0
Q9Y243	1	1	1	1	1	0	0	0
Q00839	0	0	1	1	1	0	0	0
Q96P20	1	1	1	1	1	0	0	0
Q9NZV5	0	1	0	1	1	1	1	0
Q9NUD9	0	1	1	1	1	0	0	0
Q9HAZ2	1	1	1	1	1	1	1	0
P54577	1	1	1	1	1	1	1	0
O75712	0	1	1	1	1	0	0	0
P50897	1	1	1	1	1	0	0	0
P56696	1	1	1	1	1	1	1	0
P11166	1	1	1	1	1	1	1	0
P07357	1	1	1	1	1	1	1	0
P36871	1	1	1	1	1	0	0	0
Q9Y6Y1	1	0	1	1	1	1	1	0
Q16518	0	1	1	1	1	1	1	0
Q9P2R6	0	1	1	1	1	0	0	0
P78363	0	1	1	1	1	1	1	0
O00329	1	1	1	1	1	1	1	0
P35573	0	1	1	1	1	0	0	0
Q9UNE0	0	1	0	1	1	1	1	0
Q8IYA6	0	1	1	1	1	1	1	0
P10070	0	1	1	1	1	0	0	0
O00499	1	1	1	1	1	0	0	0
P0CG37	0	1	1	1	1	1	1	0
Q15042	0	0	1	0	1	1	1	0
O60315	0	1	1	1	1	0	0	0
Q9P267	0	1	1	1	1	1	1	0
O00305	0	1	1	1	1	0	0	0
Q99250	1	1	1	1	1	0	0	0
P15882	1	1	1	1	1	0	0	0
P05997	0	1	1	1	1	1	1	0
P42224	1	1	1	1	1	0	0	0
Q96GW9	0	1	1	1	1	1	1	0
Q9UPW6	0	1	1	1	1	0	0	0
Q96Q45	0	0	1	1	1	0	0	0
Q99728	1	1	1	1	1	1	1	0
Q86UK0	0	1	1	1	1	1	1	0
Q9Y276	0	1	1	1	1	0	0	0
Q9GZT5	0	1	1	1	1	1	1	0
Q9H9Q4	1	1	1	1	1	1	1	0
P17661	0	1	1	1	1	1	1	0
Q15772	1	1	1	1	1	1	1	0
O75147	1	1	1	1	1	0	0	0
P23760	1	1	1	1	1	0	0	0
P53420	0	1	1	1	1	1	1	0
Q01955	0	1	1	1	1	1	1	0
Q9BZV2	0	1	1	1	1	0	0	0
Q8IYB7	0	1	1	1	1	0	0	0
Q07001	0	1	1	1	1	1	1	0
P07510	0	1	1	1	1	0	0	0
P22309	0	1	1	1	1	1	1	0
P12111	1	1	1	1	1	1	1	0
P56524	1	1	1	1	1	1	1	0
Q12756	1	1	1	1	1	1	1	0
Q9Y6K1	1	1	1	1	1	0	0	0
P55084	1	1	1	1	1	1	1	0
P27708	1	1	1	1	1	1	1	0
P39210	0	1	1	1	1	0	0	0
Q9UG01	0	1	1	1	1	1	1	0
Q9UM73	1	1	1	1	1	1	1	0
Q9NPP4	0	1	1	1	1	0	0	0
Q7L592	0	0	1	1	1	1	1	0
Q07889	1	1	1	1	1	0	0	0
P42704	0	1	1	1	1	1	1	0
P43246	1	1	1	1	1	1	1	0
P52701	1	1	1	1	1	1	1	0
P22888	0	1	1	1	1	1	1	0
P35716	0	1	1	1	1	1	1	0
Q9UMS0	0	1	1	1	1	0	0	0
O95630	1	1	1	1	1	0	0	0
Q16854	1	1	1	1	1	1	1	0
Q14203	1	1	1	1	1	1	1	0
P53597	1	1	1	1	1	1	1	0
O95602	0	1	1	1	1	1	1	0
O75643	1	1	1	1	1	1	1	0
P43403	1	1	1	1	1	1	1	0
P40337	1	1	1	1	1	0	1	0
P30531	0	1	1	1	1	1	1	0
Q9HC78	0	1	1	1	1	0	0	0
Q2M1Z3	0	0	1	1	1	1	1	0
Q15746	1	1	1	1	1	0	0	0
Q96N76	0	0	1	1	1	1	1	0
Q9H845	0	1	1	1	1	1	1	0
P98194	0	0	1	1	1	0	0	0
P09001	1	1	1	1	1	1	1	0
Q7Z494	1	1	1	1	1	1	1	0
P05166	0	1	1	1	1	1	1	0
Q9Y215	1	1	0	1	1	0	0	0
O00400	0	1	1	1	1	0	0	0
P43251	0	1	1	1	1	1	1	0
Q9BZK7	1	1	1	1	1	0	0	0
P42336	1	1	1	1	1	1	1	0
Q96RQ3	0	1	1	1	1	1	1	0
Q13144	1	1	1	1	1	1	1	0
Q9H3D4	1	1	1	1	1	1	1	0
Q9Y5I7	0	1	1	1	1	1	1	0
O60313	0	1	1	1	1	0	0	0
Q8N335	1	1	1	1	1	1	1	0
P40692	1	1	1	1	1	1	1	0
Q14524	1	1	1	0	1	1	1	0
Q9UI33	0	1	1	1	1	0	0	0
P35222	1	1	1	1	1	0	0	0
Q2TBA0	1	1	1	1	1	1	1	0
Q8NAT1	0	1	1	1	1	0	0	0
Q8NBK3	1	1	1	1	1	1	1	0
Q9BYW2	1	1	1	1	1	1	1	0
Q02388	0	1	1	1	1	1	1	0
P47897	1	1	1	1	1	1	1	0
O75369	1	1	1	1	1	1	1	0
Q9H334	0	1	1	0	1	0	0	0
Q3SXY8	0	1	1	1	1	0	0	0
Q9C0A6	0	0	1	1	1	0	0	0
P35475	1	1	1	1	1	1	1	0
Q9C0K1	0	1	1	1	1	0	0	0
P29371	0	1	1	1	1	1	1	0
Q4G0J3	1	0	1	1	1	0	0	0
Q01484	1	1	1	1	1	1	1	0
Q9NPC6	0	1	1	1	1	1	1	0
Q8NB90	0	1	1	1	1	1	1	0
Q6V0I7	0	1	1	1	1	0	0	0
Q8NHS3	0	1	1	1	1	1	1	0
Q9P2K1	0	1	1	1	1	0	0	0
Q16134	0	1	1	1	1	0	0	0
Q96PY6	1	0	1	1	1	1	1	0
Q53GG5	0	1	1	1	1	1	1	0
O96028	1	0	1	1	1	0	0	0
Q9HD40	1	1	1	1	1	1	1	0
Q18PE1	0	1	1	1	1	1	1	0
Q8NEZ3	0	1	1	1	1	1	1	0
O43766	0	1	1	1	1	0	0	0
P29973	0	1	1	1	1	0	0	0
Q5H8A4	0	1	1	1	1	0	0	0
Q9H8P0	0	0	1	1	1	1	1	0
Q66GS9	1	1	0	1	1	1	1	0
Q86UK5	0	1	1	1	1	0	0	0
O76024	0	1	0	1	1	0	0	0
P30968	0	1	1	1	1	1	1	0
Q14108	1	1	1	1	1	1	1	0
O14979	0	1	1	1	1	0	0	0
Q9NZW4	0	1	0	1	1	0	0	0
Q13563	1	1	1	1	1	1	1	0
O00238	1	1	1	1	1	0	0	0
Q96AG3	0	1	1	1	1	1	1	0
Q8NI36	0	1	1	1	1	0	0	0
P25054	1	1	1	1	1	0	0	0
Q8N960	1	1	1	1	1	0	0	0
P49419	1	1	1	1	1	1	1	0
Q96KG7	0	1	1	1	1	0	0	0
O14746	1	1	1	1	1	1	1	0
P35556	0	1	1	1	1	0	0	0
O76082	0	1	1	1	1	1	1	0
Q9UH77	1	1	1	1	1	1	1	0
Q9H173	0	1	0	1	1	0	0	0
Q00577	0	1	1	1	1	1	1	0
O60610	0	0	1	1	1	0	0	0
Q01959	0	1	1	1	1	0	0	0
Q9P2J5	1	1	1	1	1	0	0	0
Q9NQ38	0	1	1	1	1	1	1	0
Q8TF17	0	1	1	1	1	0	0	0
P16499	0	1	1	1	1	1	1	0
P07333	1	1	1	1	1	1	1	0
P09619	1	1	1	1	1	1	1	0
P47870	0	0	1	1	1	0	0	0
P14867	0	1	1	1	1	0	0	0
P18507	0	1	1	1	1	0	0	0
Q9H6L5	0	1	0	1	1	1	1	0
P54136	1	1	1	1	1	1	1	0
Q96L73	1	1	1	1	1	0	0	0
Q9UJV9	1	0	1	1	1	1	1	0
Q9UBV7	1	1	1	1	1	1	1	0
O95450	0	0	1	1	1	1	1	0
Q13501	1	1	1	1	1	0	0	0
P31040	0	1	1	1	1	1	1	0
Q6KC79	0	1	1	1	1	1	1	0
Q9H799	0	1	1	1	1	0	0	0
Q08J23	0	1	1	1	1	1	1	0
P07686	1	1	1	1	1	1	1	0
P20936	1	1	1	1	1	1	1	0
Q06413	0	1	1	1	1	0	0	0
P81133	0	1	1	1	1	0	0	0
Q92562	0	1	1	1	1	1	1	0
P17302	0	1	1	1	1	1	1	0
P05305	1	1	1	1	1	1	1	0
Q13061	0	1	1	1	1	0	0	0
P05089	1	1	1	1	1	0	0	0
P22413	0	1	1	1	1	1	1	0
Q8N157	1	1	1	1	1	0	0	0
P31629	0	0	1	1	1	0	0	0
Q96JX3	0	1	0	1	1	0	0	0
P51649	1	1	1	1	1	0	0	0
Q13885	0	1	1	1	1	0	1	0
P22105	0	1	1	1	1	0	0	0
Q9BVA1	0	1	1	1	1	0	1	0
Q96PV0	0	1	1	1	1	0	0	0
Q14738	0	1	1	1	1	0	0	0
Q14999	0	1	1	1	1	1	1	0
Q13950	0	1	1	1	1	0	0	0
P22033	1	1	1	1	1	1	1	0
P20849	1	1	1	1	1	0	0	0
Q99715	0	1	1	1	1	1	1	0
P15924	1	1	1	1	1	1	1	0
Q8WWQ0	1	0	1	1	1	1	1	0
Q5T160	0	1	1	1	1	1	1	0
O60568	0	1	1	1	1	1	1	0
P78509	0	1	1	1	1	0	0	0
P09622	1	1	1	1	1	0	0	0
Q14315	1	1	1	1	1	1	1	0
Q9Y5L0	1	1	1	1	1	1	1	0
P08172	1	0	1	1	1	0	0	0
P15056	1	1	1	1	1	1	1	0
Q9H3S4	1	1	1	1	1	1	1	1
Q9UHC6	0	0	1	1	1	1	1	0
Q12809	1	1	1	1	1	1	1	0
Q9UGJ0	0	1	1	1	1	1	1	0
Q8NEZ4	1	1	1	1	1	1	1	0
O43543	0	0	1	1	1	1	1	0
P50219	0	1	1	1	1	1	1	0
A4D126	1	1	1	1	1	0	0	0
Q8IXL6	1	1	1	1	1	1	1	0
Q9BXL7	1	1	1	1	1	1	1	0
P41250	1	1	1	1	1	1	1	0
Q8TA86	0	1	0	1	1	1	1	0
Q14004	1	1	1	1	1	1	1	0
P10071	1	1	1	1	1	1	1	0
P35557	1	1	1	1	1	0	0	0
Q9BSQ5	1	1	1	1	1	1	1	0
P60709	1	1	1	1	1	0	1	0
P54278	1	1	1	1	1	1	1	0
Q96MP8	0	1	1	0	1	0	0	0
Q9Y3A5	1	1	1	1	1	1	1	0
Q8WXX7	0	0	1	1	1	1	1	0
P04792	1	1	1	1	1	1	1	0
O15041	0	1	1	1	1	1	1	0
Q5K651	0	1	1	1	1	1	1	0
P08123	1	1	1	1	1	1	1	0
O43556	0	1	1	0	1	1	1	0
Q15166	0	0	1	1	1	1	1	0
P08243	0	1	1	1	1	0	0	0
P43694	0	1	1	1	1	1	1	0
Q16394	0	1	1	1	1	1	1	0
Q12768	0	1	1	1	1	1	1	0
Q96QB1	1	0	1	1	1	1	1	0
O43525	1	1	1	1	1	1	1	0
P01266	0	1	1	1	1	1	1	0
Q92597	0	0	1	1	1	0	0	0
P15538	0	1	1	1	1	1	1	0
O75907	0	0	1	1	1	0	0	0
Q9HAB3	0	1	1	1	1	0	0	0
O75593	1	0	1	1	1	1	1	0
Q9UBY8	0	1	1	1	1	1	1	0
A6NCS4	0	1	1	1	1	1	1	0
Q15822	1	1	1	1	1	0	0	0
P11362	1	1	1	1	1	0	0	0
Q92794	1	0	1	1	1	0	0	0
O14920	1	0	1	1	1	0	0	0
Q08357	0	1	1	1	1	0	0	0
P78527	1	1	1	1	1	0	0	0
P56715	0	1	1	1	1	1	1	0
Q9P2D1	0	1	1	1	1	1	1	0
Q8N4T0	0	1	1	1	1	1	1	0
Q8TB36	0	1	1	1	1	1	1	0
Q9NQW8	0	1	1	1	1	1	1	0
O60934	1	1	1	1	1	1	1	0
O75072	0	1	1	1	1	1	1	0
Q96SN8	0	1	1	1	1	1	1	0
Q13285	1	1	1	1	1	1	1	0
P17643	1	1	1	1	1	1	1	0
Q6UWE0	0	1	1	1	1	0	0	0
Q05193	1	1	1	1	1	0	0	0
Q53GS7	1	1	1	1	1	1	1	0
Q9Y6N6	0	1	1	1	1	1	1	0
P20908	0	1	1	1	1	1	1	0
P46531	1	1	1	1	1	1	1	0
Q05586	1	1	1	1	1	0	0	0
Q9H9B1	1	1	1	1	1	0	0	0
P51531	1	1	1	1	1	0	0	0
P42771	1	1	0	1	1	1	1	0
P98155	1	1	1	1	1	0	0	0
O95786	1	1	1	1	1	1	1	0
Q8NF50	0	1	1	1	1	0	0	0
P55072	1	1	1	1	1	1	1	0
Q8TEQ8	0	1	1	1	1	0	0	0
P20594	0	1	1	1	1	1	1	0
P23378	0	1	1	1	1	1	1	0
P09467	1	1	1	1	1	0	0	0
Q00597	0	1	1	1	1	0	0	0
P36897	1	1	1	1	1	0	0	0
Q96RR1	0	1	1	1	1	1	1	0
Q00653	1	1	1	1	1	0	0	0
Q9H8M5	1	1	1	1	1	0	0	0
Q9UQE7	0	1	1	1	1	1	1	0
O95817	0	1	1	1	1	1	1	0
P21802	1	1	1	1	1	0	0	0
P30084	1	1	1	1	1	1	1	0
Q96SD1	1	1	1	1	1	0	0	0
O60494	1	1	1	1	1	1	1	0
O76041	1	1	1	1	1	1	1	0
Q9BTA9	0	0	1	1	1	0	0	0
Q9NVV4	1	1	1	1	1	1	1	0
P07949	1	1	1	1	1	0	0	0
Q9UK05	1	1	1	1	1	0	0	0
Q03468	1	1	1	1	1	1	1	0
Q12955	1	0	1	1	1	1	1	0
P51530	1	1	1	0	1	1	1	0
P19367	1	0	1	1	1	0	0	0
Q96S42	1	1	1	1	1	1	1	0
P07602	1	0	1	1	1	1	1	0
Q8WYB5	1	1	1	1	1	1	1	0
Q00266	1	1	1	1	1	1	1	0
Q96JP9	0	0	1	1	1	0	0	0
P47804	0	0	1	1	1	0	0	0
P36894	1	1	1	1	1	1	1	0
P60484	1	1	1	1	1	1	1	0
P62736	0	1	1	1	1	0	0	0
O95970	1	1	1	1	1	0	0	0
P54886	1	1	1	1	1	0	0	0
Q6NUS6	0	1	1	0	1	0	0	0
Q13315	0	1	1	1	1	0	0	0
P10515	1	1	1	1	1	1	1	0
O14521	0	1	1	1	1	1	1	0
Q9UPV0	0	1	0	1	1	1	1	0
Q8IWT1	1	1	1	1	1	1	1	0
P04234	1	0	1	1	1	1	1	0
P08397	1	1	1	1	1	1	1	0
P22681	1	1	1	1	1	1	1	0
Q96C86	1	0	1	1	1	1	1	0
P48544	0	1	1	1	1	0	0	0
Q9UKU7	1	1	1	1	1	1	1	0
Q8WVX9	0	1	1	1	1	1	1	0
Q6VVX0	1	1	1	1	1	1	1	0
P07339	1	1	1	1	1	1	1	0
P50461	0	1	1	1	1	0	0	0
P07101	1	1	1	1	1	0	0	0
Q75V66	0	1	1	1	1	1	1	0
P51787	1	1	1	1	1	1	1	0
P55895	0	1	1	1	1	1	1	0
Q8WXG6	0	0	1	1	1	1	1	0
Q14896	1	1	1	1	1	1	1	0
O75489	1	1	1	1	1	1	1	0
P05155	1	1	1	1	1	1	1	0
Q92989	0	0	1	1	1	0	0	0
O76090	0	1	1	1	1	1	1	0
Q96G97	0	1	1	1	1	0	0	0
P11217	1	1	1	1	1	1	1	0
O75398	1	1	1	1	1	1	1	0
Q8TDP1	1	1	1	1	1	1	1	0
O95967	0	1	1	1	1	0	0	0
Q13418	1	0	1	1	1	0	0	0
O14773	1	1	1	1	1	1	1	0
O43505	0	0	1	1	1	1	1	0
P49821	1	1	1	1	1	1	1	0
O75197	0	1	1	1	1	1	1	0
P38935	1	1	1	1	1	1	1	0
Q9UBM7	0	1	1	1	1	0	0	0
P15328	1	0	1	1	1	0	0	0
Q9H078	0	1	1	1	1	1	1	0
P37837	1	1	1	1	1	1	1	0
Q13402	1	1	1	1	1	0	0	0
Q96I59	0	1	1	1	1	1	1	0
Q9H936	0	1	1	1	1	0	0	0
Q9ULV1	1	1	1	1	1	1	1	0
P14679	0	1	1	1	1	1	1	0
Q13614	1	1	1	1	1	1	1	0
Q86WG5	0	0	1	1	1	1	1	0
P00439	1	1	1	1	1	1	1	0
Q9NW08	0	1	1	1	1	1	1	0
Q96EY8	1	1	1	1	1	1	1	0
Q03426	1	1	1	1	1	1	1	0
Q9HBA0	1	1	1	1	1	0	0	0
P16615	0	1	1	1	1	0	0	0
P10916	1	1	1	1	1	1	1	0
Q71F56	0	1	1	1	1	1	1	0
P16219	1	1	1	1	1	1	1	0
P20823	1	1	1	0	1	0	0	0
Q9H3J6	0	0	1	1	1	0	0	0
Q9Y487	0	1	1	1	1	1	1	0
Q13224	1	1	1	1	1	0	0	0
Q7Z3S7	0	1	1	1	1	1	1	0
P54840	0	1	1	1	1	1	1	0
O00429	1	1	1	1	1	0	0	0
Q12860	1	1	1	1	1	0	0	0
Q96MT3	0	1	1	1	1	0	0	0
Q16795	1	1	1	1	1	1	1	0
P02458	1	1	1	1	1	0	0	0
P08237	1	1	1	1	1	0	0	0
O14686	1	1	1	1	1	1	1	0
Q09470	0	1	1	1	1	1	1	0
Q71U36	1	1	1	1	1	1	1	0
P02538	0	1	1	1	1	1	1	0
P13647	1	1	1	1	1	1	1	0
P35908	0	1	1	1	1	1	1	0
P56192	1	1	1	1	1	1	1	0
Q12840	0	1	1	1	1	1	1	0
Q9Y2B1	0	1	0	1	1	1	1	0
P15586	0	1	1	1	1	1	1	0
P50542	1	1	1	1	1	0	0	0
Q9NR23	0	1	1	1	1	1	1	0
P23409	0	0	1	1	1	1	1	0
O15078	0	1	1	1	1	0	0	0
Q8IU89	0	1	1	1	1	0	0	0
Q9UJ55	0	1	1	0	1	1	1	0
Q04671	0	1	1	1	1	0	0	0
O95714	1	1	1	1	1	1	1	0
Q7Z4N2	0	1	1	1	1	0	0	0
Q8NG31	1	1	0	1	1	1	1	0
P20807	1	1	1	1	1	0	0	0
Q6IQ55	0	0	1	1	1	1	1	0
Q96P56	0	0	1	1	1	1	1	0
Q9NRD8	0	1	1	1	1	0	0	0
P50440	1	1	0	1	1	1	1	0
P51159	0	1	1	1	1	0	0	0
Q96DP5	0	1	1	1	1	0	0	0
C9JR72	0	1	1	1	1	1	1	0
Q9Y5X4	1	1	1	0	1	0	0	0
P06865	1	1	1	1	1	1	1	0
